Dialogue_ID	Utterance_ID	Utterance	label
526	3	um, but that's okay, see we have an understanding, um, see we each have this list of five famous people,  so i'm allowed to sleep with you.	s
978	4	rachel! rachel!	oth
211	7	what a sweet story.	o
577	4	and that's how it's done.	s
821	10	listen, i gotta tell ya, i-i'm having a great time!	s
936	21	i do! i do! i do!  i do!  ugh, like i can really chase you. i'm carrying a litter.	s
257	3	oh.	oth
145	12	it creeps me out!	o
759	5	well, i'm sorry if my friends aren't as sophisticated as yours.	ap
236	3	well, i don't have to buy that,  i'm with stupid  t-shirt anymore.	ans
398	1	i need some milk.	ans
469	1	julie's cervix is dilated a seven centimeters, that's about four fingers. the doctor let me feel it myself.	s
94	2	said what? exactly.	q
849	8	that's great. listen, wouldn't it be great though if i got to play ben's dad?	s
908	2	ross!	g
482	9	fine!  but please god.. tell me how to stop them from going off!	q
1019	13	hey, i can be smooth.	s
892	15	restaurant reviewer admits: i was wrong about monica.	s
645	16	not if you were here.	s
888	12	yeah.	b
706	3	it's your timer.	dag
431	7	well, we thought we would all go to a picnic , in central park!	ans
202	7	phoebe, what, what happened here?!	q
935	2	i can't believe this! this is like the worst night ever!	o
896	2	um, and maybe i'm wrong!	a
285	2	yeah uh look rach, there's something i gotta tell ya.	s
726	6	well, maybe after we get reacquainted uh, you can do me.	s
904	2	a $200 an hour electrician couldn't figure out what it did.	s
234	3	thank you.	g
731	0	ok, when you walk in the museum, take the right, that's the antiquities    wing.	ans
992	15	we're sorry.	ap
976	8	but what about phoebe?	q
812	9	ohh, you're about to get a little luckier.	s
147	1	oh. well, hold on camper, are you sure you've thought this thing through?	q
64	1	well then we still have a problem.	s
99	4	y'know i was thinking if we had a…a big fight and uh we broke up for a few hours	o
13	2	oh wow! so, you're more than just dinosaurs.	o
319	12	monica, i want to become  the ultimate fighting champion.	s
660	0	okay.	ag
207	12	so you're a chef?	q
774	1	that was 10 blocks from here and, the, the woman was walking alone at night, i would never do that.	o
651	0	well, not playing raquetball!	s
438	10	yeah, but i didn't get to see it.	s
482	3	that's not mine.	s
879	1	well yeah, sure, what's up?	ans
863	1	but occasionally you get your person who wants them in a pose.	o
390	1	absolutely! and if it doesn't, can i get the extra ticket?	ans
572	11	umm. umm, i'm-i'm just gonna—	s
901	2	janice's birthday is coming up, i want to get her something speacial. come in here with me.	s
820	14	they loved me!	s
921	8	so i guess this is it.	s
673	1	yes.	ans
612	1	please tell me you got the message!	g
981	2	oh! i knew it! what happened?	q
378	1	yeah, come on in.	c
645	3	i've read all kinds of books on pregnancy and giving birth, but i-i just didn't think to read the part about what to do when the baby comes.	s
991	11	well, hats off to the chef.	a
820	21	grandma's gonna have to get in line.	s
918	6	okay, it's probably why kids picked on me in school, and why i never do well with women… so, as of 4 o'clock tomorrow, i'm either gonna be mark johnson or john markson.	s
797	3	i'm not too bad. fortunately, blue's my colour. how-how did you know i was here?	q
659	15	come on.	c
898	1	alright, you did it! do we have any fruit?	q
504	2	yes, i believe we can expect a call from the president any moment now.	s
418	22	no.	ans
888	5	no. that's not what i'm saying. i just may know a few things that might help you inflict some pain.	s
865	1	limited seating my ass. let's see who made the cut.  hi!	s
275	10	oh no, no-no-no-no! i don't want to know!	s
297	5	can you just hold on for one minute?	q
891	5	i think that's the youngest girl ever to reject me.	o
574	6	yes. yes.	ag
531	0	what's happening to your accent?	q
617	3	yeah, i don't like that word.	ans
237	3	and y'know what, i get excited about stupid stuff, like when i my	s
740	5	well, can you blame her?	q
9	12	oh my god. you are pure evil.	o
440	1	all i have is, is oregano and a	s
873	2	hey pheebs!	g
172	1	i didn't mean	s
511	3	oh, what? what-what?	q
942	7	coffee sounds great.  wait, so, so you live in montreal?	q
793	1	the bigger half.	ans
664	0	so what are you gonna do?	q
640	14	and rachel shouldn't have any problem with that. the only problem might be getting a little too friendly, if you know what i mean.	s
979	2	and hats off to phoebe. quite a competitor.  and might i say your breasts are still showing.	s
518	0	happy?! is that what i'm supposed to be vic? happy?	q
1005	20	go!	c
875	10	chandler!	oth
446	9	okay.	ag
216	1	it's no big deal. hey, y'know, you do what you gotta do. right?	q
940	3	okay, i'll be back in just a minute. oh, phoebe i'm sorry that i left lipstick marks on the phone.	ap
486	0	hey.	g
179	0	yeah.	ans
822	5	okay, what else?	q
1005	12	but then i'd have to go all the way around the dry cleaner place.	s
738	7	i can't believe they-they didn't even tell us!	s
197	5	oh-ho, yeah. yeah, the hand guy.	a
835	10	let's go big bunny!	ans
506	1	okay,  i can't imagine, i can't imagine my life without you.	s
676	11	what are you doing?	q
214	4	oh, you say someone's name enough, they turn around.	s
700	12	thank you.  hey-hey umm, uh, is there, is there any such thing as an annulment shower?	a
733	1	hey, so did everything go all right with the annulment?	q
651	8	why would i tell him?	q
30	5	eh-wh—excuse me?	ans
293	12	you wish.	oth
912	0	my god!	oth
346	4	yeah okay, i was just talking to the guys. just look at them i mean, is it okay if they come visit?	q
652	0	god. i feel violated.	s
46	10	why?!	q
179	8	sagittarius?	q
29	12	man, that's some	oth
649	17	i would like to meet him. he sounds like a stand up guy.	s
568	7	okay, so now do you believe that she's attracted to me?	q
136	0	hello.	g
67	5	ross-ross, you have no idea what this means to me!	s
532	12	yes, as a matter of fact he did, so i can't let you go.	ans
207	9	so i was wondering....	oth
214	1	david who?	q
274	8	what am i gonna do?!	q
649	2	ohh, lilies. joey, they're my favorite. thank you.	a
778	8	oh.	b
153	2	okay, okay, bye	g
6	6	i love the specifics, the specifics were the best part!	o
955	0	what one? you wanted him to invite you to the party and he did it!	s
1006	1	no but at monica's you can eat cookies over the sink!	dag
354	2	thank you. i'm going to rejoin my dinner party.	s
401	2	but y'know, the ocean is right there.	s
78	1	i don't like sitting up here! i'm just gonna over	o
916	0	here we go. mona umm, i think it's time we-we had a conversation about-about where things are with us.	s
834	15	i don't know.  me neither.	ans
823	12	thank you, monica.	g
447	1	so, we're walking down the street and i turn to you and i say,  hey, let's go hang out at totally nude nudes,  remember?	s
822	1	okay, shoot.	ag
891	2	whoa!!	b
839	7	yeah, i can talk them into giving you like, 30 dollars.	ans
300	15	ok.	s
703	1	brooklyn heights.	ans
207	18	what do you want me to do? just sit here silently while you three have a conversation?	q
345	2	oh honey, i'm so sorry, you were right, this feels great!	o
912	6	okay, it must just be me then.	s
837	2	hey!	g
901	15	what?	q
771	4	can i ask you something?	q
582	0	didn't think so!	ans
257	1	oh my god….what's he gonna do now?	q
870	1	great. great.	ag
446	16	i mean why am i only attracted to guys where there's no future?	q
264	14	yeah-yeah, except apollo 8 didn't actually land on the moon.	s
922	6	yeah. i just need you to bring me some photos of ross.	c
809	9	you serious?	q
91	0	what, did you actually thought it would make me feel better to give me stuff that i can't use for another two months?!	q
1023	4	well it's just my entire family was run out of scotland by…vikings. anyway, lots of bad memories.	ans
242	3	it's pretty clear.	o
1021	2	it doesn't matter, i still wind up with this little  cowlicky thing on the middle part of my head.	s
370	2	i'm an alien. i'm an alien.	s
559	5	never had that dream.	s
169	0	come on!	oth
738	5	what? what happened to the window in the attic?!	q
128	7	oh. oh yeah! ohhhhh! ohh! oh yeah!	oth
947	8	welcome to introduction to cooking. now, before we start, can anyone tell me the difference between a hollandaise sauce and a bearnaise sauce?	q
829	2	ok, are they listening?	q
63	4	that's right! made expressly for val kilmer and worn by him in the hit film…that batman film he was in.	ans
592	12	phoebe! don't put ideas in his head!	c
42	1	hello, i am guru saj--whoa!!  that's supposed to be a duck right? 'cause otherwise, this is waaay out of my league.	s
869	3	instead of hitting on her right away, he's becoming her confidant.	o
171	5	yes, yes, that's right...	s
210	9	here's your call sheet for tomorrow.	s
654	8	i am!!	ans
129	1	i am hurt!  a plague on both your houses!	s
274	2	the ring is gone!	ans
823	4	oh, no, no, no, no. you know what, he's not into that stuff anymore. he quit for me.	ans
663	0	that was amazing!	s
564	10	wow! if only more people knew.	s
436	4	that	s
312	11	i, i don't know.	s
34	4	i'm sorry. i'm done. i'm done.	ap
47	11	oh, seriously you want him?	q
208	1	oh, y'know the same thing happened to me one time.	s
637	7	i don't think you have much choice.	ans
514	4	but i'm the host!	s
761	4	ok, now i'm gonna kick some ass.	s
498	5	i mean this picture is supposed to say  geller and bing to be married,  not  local woman saves drowning moron!	o
932	7	that's different! i was drunk and stupid!	ans
852	3	: yeah, um...  you know you, you should just forget about what i said under the bridge, i was talkin'	s
792	17	how can i accept that...	o
941	6	have i read it?  no, are you enjoying it?	q
283	0	yeah well next thing you know, he'll be telling you that your high heels are good for his posture!	s
258	3	yeah, joey already told me, and i am so-so fine.	ans
501	7	oh.	b
130	15	yeah, okay.	ag
342	16	what?!	q
317	13	when we make plans, i expect you to show up.	s
972	3	i guess the last time we really hung out was when our parents rented that beach house together.	s
383	3	stupid closet full of bugs!	o
843	0	i can't believe this. do you think that your parents could help pay for it?	q
907	8	who are you talking too?	q
274	5	you lost the ring!	s
727	8	oh, ah, tour guide at the museum. yeah, ross got it for me.	ans
574	2	oh! ohh! oh!!	b
1025	13	oh i am!	ans
590	1	they can't all be bad.  find the one where you make your bedroom eyes. ohh, there it is.	o
963	2	i knew it!	s
249	5	or friday with no two pizzas!	o
285	16	y'know, i don't really know her.	ans
148	0	ok, so it's just because it was my table, i have to buy a new one?	q
477	6	ohh, that's too bad!	o
524	7	yes.	ag
271	4	ohh, you're so sweet!	o
338	12	well, we're starving, why don't we all go get something to eat?	q
608	1	the last candle's about to burn out.	s
670	0	noooo!  i'm lying. i am so drunk.	s
953	15	bob    had babies!	a
819	9	oh no-no, i can't do that.	dag
794	3	oh yeah, i said rachel's name, but it didn't mean anything, okay?	dag
735	10	actually, no, we're not.	dag
78	5	oh my god! why is he jumping on those women!	q
192	4	yes!	ag
421	0	okay.	a
585	6	thanks.	a
666	7	it's danny.	s
901	17	well she, she wouldn't do that, she's with, she's with me.	o
83	2	who in the hell are you?	q
1034	2	oh! it's you.  hi.	g
850	1	hm-hmm, i told you!  i can't believe that i've only got two hours before i call in sick for work.	s
1024	1	hi!	g
534	2	oh! no problem! i	oth
337	2	why not? it's built into the price of the room.	ans
46	12	tickets please!  that's courtside baby!	s
214	7	yeah, i'm just, i'm just in town for a conference. umm	ans
538	8	he got it a flea market!	s
851	19	you look strong, why don't i take that and you grab one of the boxes.	o
529	2	it couldn't have anything to do with the fact that-that maybe i'm a good listener and i uh i put on a	ans
232	7	what is it? is there something fundamentally unmarriable about me?	q
806	4	yeah. what is that?	q
956	16	yeah, okay, i'll see you later.	oth
679	8	oh my god! it's joey tribbiani of mac and c.h.e.e.s.e.!!!!!!!	oth
887	0	yes that's right.	ag
893	13	it'll be me!	s
811	3	so i uh, i just talked to the director. that's it, we're done for the day.	s
417	0	more than jewelry.	o
206	4	ow, ow, ow, ow, leg cramp, leg cramp, leg cramp.	s
222	6	no leg-chewing for us sir.	s
392	1	hey, joey!	g
562	0	hello! one marriage please!	g
312	8	noo, nnnnn. what does this mean? what do you, i mean do you wanna, get back together?	q
179	6	virgo?	q
8	4	great! okay, here.	ag
771	8	i mean, the giant is like five years younger than me, y'know, you think i'll ever get there?	q
717	6	come on phoebe, look at that!	c
630	8	hello?  oh yes, one minute please.  it's for you. it's the fire inspector.	oth
637	11	yes. yes. just here  and there .	oth
222	4	i didn't know you and carol were getting divorced, i'm sorry.	s
564	4	what are these?	q
306	0	umm, candles, champagne, yeah anniversaries are great.	o
973	13	i'll bet he's totally over me, i'll bet he's fine.	dag
554	10	oh my god, look-look he's taking off her clothes!	s
334	10	i forgot my purse.	s
607	1	don't you realise what you're-you're doing to yourself?	q
20	14	she loves sandwiches, sports, although she is a met fan, not much of an issue now but if we were ever to have kids, well that's a	s
767	9	uh-oh the laundry's done, uh-oh, uh-oh.	s
712	1	you'll be perfect for this! that's already your name!	ag
546	10	she could be you.	s
379	0	no. and i don't think i'm gonna want to.	ans
462	3	no. y'know how we're always saying we need a place for the mail.	s
411	2	j-j-just relax, nobody yelled. jack just was calling to make sure that	ans
644	7	in my defense, it was dark and he was a very pretty guy.	ans
499	6	well y'know, some people make deals with a friend, like if neither of them are married by the time they're 40, they marry each other.	ans
844	20	and i need to flip the light switch on and off 17 times before i leave a room or my family will die.	s
776	5	you were the next caller five hours ago. you must be going crazy.	o
434	11	hey, i thought i cheered you up.	o
1010	9	no-o-o!  no way!	dag
226	19	man! he just keeps lobbing them up and i just keep knocking them right out of the park!	s
574	12	the reason we didn't tell anyone was because we didn't want to make a big deal out of it.	ans
858	4	oh yeah!	ans
623	17	oh absolutely! it has been in my family for generations, and every bride who has worn it has had a long and happy life.	ans
944	1	would she?  you ate my candy bar!	q
1001	3	it turns out they fired the head lunch chef, and guess who got the job.	q
986	3	oh, i can't believe it!	s
809	5	$500 that is a loooot of electricity!	o
132	6	no! really, no, please, please, that's, that's okay.	o
822	6	um, the off-broadway play people said 'you were pretty but dumb.'	ans
569	0	ross, umm, you've been in there for a long time. i'm starting to get kinda freaked out.	s
671	9	ah! i'm an actor! i can memorize anything! last week on  days     i had to say  frontal temporal zygomatic craniotomy .	s
304	9	he started mine first!	s
637	0	you spent a hundred dollars. that's the limit. you're screwed!	s
997	5	oh no!	oth
455	9	well, you're not totally paranoid.	o
111	0	wow thanks!	g
563	4	really?	q
806	6	hey! how'd it go?	q
507	4	am i out of control?	q
288	3	you've sung happy birthday to 20 different women today!	s
839	4	look, i'm talking right now! you're—you mean her.	s
761	0	did you just flick me?	q
138	14	mr. bigot. he tells the most	ans
347	9	no. i'm just, i wanna, i need to be alone.	ans
148	7	ok, ok, how about if we split it?	q
1017	0	god, i feel so guilty about ross.	ap
633	5	i'm so happy for me.	s
536	4	i went to one where i wore a band uniform they had to have specially made.	s
646	0	okay, the reason why i asked you guys out to brunch today is because i have been doing some thinking about who should be my maid of honor.	s
973	12	all right, there are no questions in the happy place. okay, just, the warm breeze, and the moonlight flowing through the trees....	ans
972	0	cassie, how you-how you doin' on that…hot dog.	q
1016	4	ah, susan will be so pleased.	ag
503	10	it went under the table.	ans
950	6	hey, hey, look. look ross, ben drew a picture of you!  huh? you're-you're a cowboy!	s
421	2	i can tell her how i feel.	s
336	15	okay, the other night i was leaving the museum just as 'laser floyd' was letting out of the planetarium, without even trying i sold 50 boxes!	ans
877	4	oh, you're such a gentleman.  come on! we're going to my place!	s
145	14	what kinda stuff?	q
258	5	umm, actually i was about to tell you that i was, i was going to get out of it, but hey, if we're just goofing around then uh, maybe i	o
1005	13	oh, so you're saying you'd choose convenience over health?!	q
299	1	umm?	b
361	3	oh my god! you are giving this a lot of thought.	s
587	4	oh my god!!	oth
332	1	shh.	oth
111	2	yeah!	b
554	3	what are you doing here?	q
481	3	and what's the big deal, people do it all the time!	s
615	16	well, is it, like, a little annoying, or is it like when phoebe chews her hair?	q
804	4	i'm sorry. i didn't—i don't come in here a lot.	ap
303	1	no, that is what the game is.	dag
235	8	i can't do it!	o
646	21	aww, and good luck to you too!  what a nice lady!	oth
565	3	oh, nobody's judging you.	s
618	1	ohhh!  wow! he kinda takes your breath away doesn't he?	q
654	4	come on monica, it's our valentine's day. please? please-please, please?	c
869	13	and he'll be all, 'yes!'	o
326	3	now you know how you really feel about it.	s
936	16	look, rachel, if you go, you're just gonna mess with his head and ruin his wedding!	s
334	8	i should uh, probably go.	o
245	4	and did he?	q
69	0	that's great.	ap
356	6	aww, is it broken?	q
806	9	i do rach. i do, and i so happy for you.	ag
806	13	hey rach listen, no matter what this guy says i want you to know you're not gonna be alone in this.	s
810	17	mm! night gar'!	g
945	12	ah, just one other thing.	s
851	15	okay. yeah. listen would you uh, would you like to have dinner with me tonight?	q
583	6	no, don't look directly at them!	dag
295	19	fine!	s
155	9	great! well umm	oth
312	10	maybe!	o
897	4	yeah.	ag
474	1	oh monica, we are so sorry.	ap
182	5	no, but i was doing my thing and everything was going according to the plan!	dag
697	0	so chandler, i-i'd love to come by tonight.	s
991	6	all right.	ag
11	7	bye, pheebs!	g
563	2	what if i asked?	q
275	9	oh my god, it's so huge, but you just have to promise me that you cannot tell anyone.	ans
237	2	y'know, so i don't read as many important books as you do, and i don't write trick poems that seem to be about one thing but are actually about something else.	ans
73	10	excuse me?	oth
953	5	no, no, to test his neck strength.	ans
338	4	this-this, no, oh no, no-no-no, this is not—that's-that's not what it is.	s
774	0	mom, would you relax.	s
9	6	so, are we gonna get together or what?	q
546	8	okay, d'y'see anybody you think could be me?	q
85	0	sorry i'm late, but i left late.	ap
129	2	by the way, he dumped me tonight after he read my review.	s
858	12	no.	ans
89	0	this sucks! i didn't know i had to stay up all night before i went to this stupid sleep clinic! i'm so tired!	o
860	8	i write erotic novels, for children.	s
707	4	lint?	q
3	2	what?!	q
515	1	hey gunther. hi.  i mean you're going out on a date with the noisy guy upstairs?	g
922	1	hi.	g
629	1	carol, we've been through this before, ok?	q
916	1	yeah, i-i think i suggested that.	s
203	2	it's not kicking right now. although we would love to see you do  that again.	ans
14	4	really.	ans
947	12	that's very good, what's your name?	q
606	9	look, you guys wanna meet the group?	q
661	4	i don't know, birds just don't say,  hello, sit here, eat something.	ans
686	0	all right, i'm gonna go steam my wedding dress okay? who wants the responsibility of making sure nothing happens to it?	q
87	9	what a beautiful story. hey, i'm fine by the way.	o
622	2	look at that guy by the window, wow!	c
199	8	i just got this really weird message from ross. he said turn on	s
1028	2	he was planning a party for his girlfriend at the time.	s
421	7	i uh, i just came by because i-i want to talk to you about something.	ans
872	9	and you would read alone in your room, and your puzzles...	s
461	1	oh, hey.	g
481	1	yeah!	ans
799	4	my brother, the phd would like to know if there's any way to treat this orally.	s
292	2	hang-hang on.	c
1010	2	i mean naked game. strip poker, we should totally play strip poker.	ans
848	11	ok, i need to lie down.	s
253	4	sid is still in his room.	ans
77	1	no, not yet.	ans
89	9	y'know, they're not gonna get married anyway!	o
206	11	he started it!	s
651	7	so are you gonna tell him?	q
455	0	so.	s
302	5	hey!	g
15	21	and most importantly i... you-you will have to catch us first.	s
939	8	i  like to think of myself as the puppet master of the group.	s
377	0	which brings us back, of course, to greely's theory of dominance.	s
466	15	...now	s
128	8	okay.	oth
544	5	oh! oh, i love that but.	s
844	14	i'm andrew, and i didn't pay for this pear.	s
847	3	well you didn't hang up either.	s
813	3	i don't care! the wires have come loose in your head!	s
331	2	i'm sorry.	ap
941	10	oh, then you do know it.  so um what kind of things do you write about?	q
258	4	i mean, you and i we're just, y'know, we're nothing, we're goofin' around.	s
902	9	speech! speech! let's hear from the birthday girl! huh?	s
614	9	it does sound appealing.	s
1022	10	joey, what-what are you doing going into my bedroom?!	q
509	12	oh gosh!	oth
739	7	whoa!	s
344	1	very life-like and funny.	o
226	10	so you work at	s
649	7	oh man!	oth
507	11	i don't know.	ans
444	5	yeah, the knicks by 10. they suck.	ans
810	8	it's candy time! my roommate says that they taste like little drops of heaven.	ans
630	0	now there you go! i wouldn't want my best guest to strain her eyes!	s
659	9	oh, no no no. i'm fine. i'm fine.	ans
261	7	hey! me too!	ag
536	0	i mean why, of all people would you want to go out with chip?!	q
866	5	but-but, if you don't love this, we'll do it in any other place at any other time.	o
884	6	no, things are fine with kathy. i'm having a late dinner with her tonight, right after my early dinner with casey.	s
681	3	why don't we just put 'poor little tooty' out in the hall?	q
356	20	oh joey don't!	c
946	4	phoebe.	g
259	0	well, it was quite large. i-i-i-i-i had to throw most of it away.	s
319	17	and i suppose you used a ring designer for that.	s
130	5	all right, i guess this will be fine.	o
910	12	well, no. that's impossible. you can never be too alan.	ans
975	1	hey.	g
463	7	it was fine.	s
649	8	this is so great!	s
786	3	i don't know! maybe she's crazy!	ans
379	4	i'm just doing it to get back at ross.	s
887	1	why?	q
776	6	nah. i kept myself busy.	dag
86	1	y'know what, actually…  okay, okay, okay, what's so funny over here?	q
235	1	uh, wait, so you guys are telling me you actually did the routine from eighth grade?	q
999	1	do you uh, do you talk about me?	q
530	3	what?!	q
980	5	how do you think joey?s going to react when he finds out that you blew off his sister with a letter?	q
1007	15	that word was swans.	s
607	9	well, yeah, i have one now and then.	ag
585	5	and you're so sweet.  and you're kind	a
510	4	if you wanna put a label on it.	ans
678	4	hey-hey!	g
258	1	umm, listen there's something i think you should know.	o
717	5	uff, i hope he lets her down easy.	o
797	4	because... i'm monica geller. it was my credit card you were using.	ans
719	5	me too! yeah. and comfortable. do uh, do you like leather seats?	q
194	0	aw, you're right, you're right. i'm sorry.	ag
236	2	check this out? huh?  yeah. that's the stuff. what do you think?	q
11	9	oh, do you need a hug? you don't have to bring me anything!	o
973	3	okay, tell me your happy place.	q
820	13	hello!	g
545	9	i can't, i gotta go.	dag
374	8	i mean we should get free stuff too!	o
529	4	i think i can take care of myself, i'll talk to you later.	o
32	3	oh, boy scouts could have camped under there.	ans
68	0	...dammit, hire the girl!  okay, everybody ready?	q
827	7	um, but i saw this info-mercial, and um, i swear to you i have never-ever bought anything on tv before, except for this mop.	s
700	8	oh b-b-but it is!	oth
511	1	okay, quick and painful.	oth
544	4	but	b
787	7	i'm lovable.	s
875	0	i think you'll find this room more to your liking.	o
525	2	oh. maybe they're napping.	s
486	13	now i gotta be careful?	q
148	15	you'd tell me if you were moving out right	s
448	11	yeah, we should get a move on if we wanna make those dinner reservations.	s
806	15	listen i uh…  it's a scary world out there especially if you're a single mom.	o
549	0	hi uh, i'm joey tribbiani and with all do respect i'd like to donate some fluids.	g
144	2	oh, yeah, this is from rachel.	ans
223	7	expect it in 4-6 weeks.	s
351	2	who did?!	q
759	2	why are you shopping here? you don't live in this neighborhood. were you here waiting for me?	q
574	9	how?! when?!	q
1018	9	okay.	ag
34	6	no, not really. i mean you've seen me naked hundreds of times.	dag
712	3	well do you want some help?	q
1038	8	how many perfectly fine women are you gonna reject over the most superficial insignificant things?	q
232	19	no reason.	ans
40	7	hello?  eighth street deli?	g
860	13	wow! you do?	q
867	3	yes! ben learned a little trick.	s
109	1	no thanks, mom!	ans
474	15	i mean, i get all those presents  without having to talk to people i don't even like!	o
54	21	okay bobby, why don't we just come over here and let them have a little moment.	s
446	3	what like pete dakota?	q
422	2	hardest thing i've ever done in my life.	s
411	3	thank god.	oth
541	15	umm, some people eat stuff off one another.	s
474	18	monica.	s
486	10	this sucks!	o
1001	9	yeah, someplace nice.	ans
672	13	no, rach, no. i don't, i don't, i don't	ans
930	15	what are you talking about? bitch.	q
747	11	what-what-what-what is it?!	q
425	5	there was a pregnancy test in the garbage, and it's positive. monica's pregnant.  so i guess she won't be totally alone.	ans
126	6	hey, i have all the space i need. just do what i did.	s
939	18	i guess so.	s
344	15	tell me about it, huh?  oh no-no-no, i'm not with her, she's just monica!  ewwuck!	s
816	4	chandler,  you call me when this goes in the pooper.	c
775	12	so, carol and i went behind a couple of those mechanical dutch children... then they fixed the ride, and we were asked never to return to the magic kingdom.	s
670	5	yes, yes, it does. okay, look, the restaurant called, they wanna know if you're gonna be showing up for work?	q
431	3	umm, y'know how the other day you were talking about how you didn't get to go to london and how you were kinda feeling left out?	s
317	12	i don't accept this rule.	dag
989	10	because i think i just heard her moving around in there.	ans
208	16	they're brother and sister!!!	s
1009	10	was he wearing a stunning blue suit?	q
151	13	y'know what?	oth
279	12	you need me to go down there with you and hold your hand?	q
861	5	what's different?	q
503	1	you roll another hard eight and we get married here tonight.	ans
976	12	oh, no no no no. oh no no no no. i have to do this to her?	q
190	5	y'know, we don't have to imagine.	dag
152	0	oh my god!	oth
969	4	here you go.	s
817	9	she didn't feel anything for him.	ans
35	3	i never thought i'd be able to do that!	o
834	2	oh, yeah, sure.	ans
409	6	oh, we went to see a collection of victorian doorknobs and the cupert-hewitt museum.	ans
995	1	hey, if they have a ball maybe you can stick razor blades in it and teach them a new game, gonna need stitches ball.	o
833	2	he cannot play at our wedding!	ans
225	9	so they ah, they all took off, it was pretty hard watching them go, y'know?	s
984	3	okay, so-so which route should i take the northern route or the southern route?	q
193	5	what? why not? you could make a ton of money.	q
602	0	i've gotta tell you, bob is terrific.	s
214	0	oh my god! that's david!	s
862	2	why?  seriously i did not understand a word that    you said.	o
261	0	oh my god, so do i!	ag
445	1	i know. i know. i panicked, i panicked. i didn't want him to start yelling at me like i was some '74 latour.	a
315	1	oh sure, cilantro larry.	ans
329	3	great! monica's moving!	ans
49	2	especially by that professor we ran into last night, judgey von holierthanthou.	s
349	6	well you	oth
479	2	my friend's name is joey.	s
756	9	i'll call you back.	s
611	14	ohhh... i'm fine.	s
887	8	no-no!	ans
573	8	it's not something you are! it's something you have!	s
645	0	so umm, you're gonna stay with me as long as i need you?	q
1023	5	oh well, it sounds to me like your family is ready to uh, rediscover its scottish roots.	s
190	3	okay.	b
212	9	ow-ow-ow-ow! oh my god!!!	oth
945	7	i'm sorry, i wa, i wa, i was just ah....	ans
53	0	hi!	g
328	4	and you! i throw myself at you and you say no, how gay are you?	s
